,vacancy,name_vac,id_empl,skill
133,35980612,Электрогазосварщик (Кротовка),47084,Разнорабочий
134,35980612,Электрогазосварщик (Кротовка),47084,Другое
135,35980612,Электрогазосварщик (Кротовка),47084,"Электромонтер, Кабельщик"
136,35980612,Электрогазосварщик (Кротовка),47084,Сварщик
137,35980612,Электрогазосварщик (Кротовка),47084,Строительство
138,35980612,Электрогазосварщик (Кротовка),47084,Рабочие строительных специальностей
139,36093250,Электрогазосварщик (Пестравка),47084,Разнорабочий
140,36093250,Электрогазосварщик (Пестравка),47084,Другое
141,36093250,Электрогазосварщик (Пестравка),47084,"Электромонтер, Кабельщик"
142,36093250,Электрогазосварщик (Пестравка),47084,Сварщик
143,36093250,Электрогазосварщик (Пестравка),47084,Строительство
144,36093250,Электрогазосварщик (Пестравка),47084,Рабочие строительных специальностей
145,36104684,Инженер,47084,Другое
146,36104684,Инженер,47084,Слесарь
147,36104684,Инженер,47084,ЖКХ
148,36104684,Инженер,47084,Другое
149,36104684,Инженер,47084,Другое
150,36104684,Инженер,47084,Другое
151,36194049,Главный специалист по надзору (Руководитель отдела охраны труда),151270,Электроэнергетика
152,36308601,Специалист поддержки внутренних клиентов,3529,"Начальный уровень, Мало опыта"
153,36308601,Специалист поддержки внутренних клиентов,3529,"Поддержка, Helpdesk"
154,36308601,Специалист поддержки внутренних клиентов,3529,"Начальный уровень, Мало опыта"
155,36308601,Специалист поддержки внутренних клиентов,3529,"Начальный уровень, Мало опыта"
156,36308601,Специалист поддержки внутренних клиентов,3529,Сотрудник call-центра
157,36308601,Специалист поддержки внутренних клиентов,3529,Консультирование
158,36444843,Инженер,47084,Машиностроение
159,36444843,Инженер,47084,Автомобильная промышленность
160,36444843,Инженер,47084,Инженер
161,36444843,Инженер,47084,Конструктор
162,36451294,Программист 1C,47084,"Программирование, Разработка"
163,36451294,Программист 1C,47084,Системная интеграция
164,36451294,Программист 1C,47084,Системы управления предприятием (ERP)
165,36451294,Программист 1C,47084,Инженер
166,36451294,Программист 1C,47084,CRM системы
167,36456326,Специалист по выкладке товара,880548,"Маркетинг, Реклама, PR"
168,36456326,Специалист по выкладке товара,880548,Продажи
169,36456326,Специалист по выкладке товара,880548,Консультирование
170,36456326,Специалист по выкладке товара,880548,Консультант
171,36456326,Специалист по выкладке товара,880548,Менеджмент продукта (Product manager)
172,36456326,Специалист по выкладке товара,880548,Мерчендайзинг
173,36495998,Senior Frontend Developer,1084619,"Программирование, Разработка"
174,36495998,Senior Frontend Developer,1084619,Инженер
175,36495998,Senior Frontend Developer,1084619,Web инженер
176,36545085,Lead Business Analyst,2915783,Информационные технологии
177,36545085,Lead Business Analyst,2915783,"Программирование, Разработка"
178,36545085,Lead Business Analyst,2915783,Управление проектами
179,36545085,Lead Business Analyst,2915783,Аналитик
180,36612761,Главный специалист поддержки прикладных систем,4181,Банковское ПО
181,36612761,Главный специалист поддержки прикладных систем,4181,Инженер
182,36612761,Главный специалист поддержки прикладных систем,4181,"Поддержка, Helpdesk"
183,36612761,Главный специалист поддержки прикладных систем,4181,Администратор баз данных
184,36612761,Главный специалист поддержки прикладных систем,4181,CRM системы
185,36681272,Начинающий специалист,4934,Информационные технологии
186,36681272,Начинающий специалист,4934,Исследования рынка
187,36681272,Начинающий специалист,4934,Другое
188,36681272,Начинающий специалист,4934,Административный персонал
189,36681272,Начинающий специалист,4934,Продажи
190,36681272,Начинающий специалист,4934,Менеджер по работе с клиентами
191,36760391,Системный администратор,65617,Системный администратор
192,36760391,Системный администратор,65617,"Поддержка, Helpdesk"
193,36760391,Системный администратор,65617,Администратор баз данных
194,36798214,Специалист шиномонтажа,97954,Сервисное обслуживание
195,36798214,Специалист шиномонтажа,97954,Другое
196,36798214,Специалист шиномонтажа,97954,Автоперевозки
197,36854259,Специалист по охране труда,121872,Строительство
198,36854259,Специалист по охране труда,121872,Железнодорожные перевозки
199,36882872,Специалист по обслуживанию технических средств охраны,1102602,Системы видеонаблюдения
200,36882872,Специалист по обслуживанию технических средств охраны,1102602,Пожарная безопасность
201,36882872,Специалист по обслуживанию технических средств охраны,1102602,Строительство
202,36949972,Аналитик 1С на внедрение крупных проектов,117502,Информационные технологии
203,36949972,Аналитик 1С на внедрение крупных проектов,117502,"Консалтинг, Аутсорсинг"
204,36949972,Аналитик 1С на внедрение крупных проектов,117502,"Поддержка, Helpdesk"
205,36949972,Аналитик 1С на внедрение крупных проектов,117502,Аналитик
206,37025160,Java-разработчик,668019,"Программирование, Разработка"
207,37025160,Java-разработчик,668019,Инженер
208,37033709,Business analyst (middle),2915783,Игровое ПО
209,37033709,Business analyst (middle),2915783,"Программирование, Разработка"
210,37033709,Business analyst (middle),2915783,Управление проектами
211,37033709,Business analyst (middle),2915783,Аналитик
212,37067559,Ведущий инженер,2864107,"Программирование, Разработка"
213,37067559,Ведущий инженер,2864107,Компьютерная безопасность
214,37067559,Ведущий инженер,2864107,Сетевые технологии
215,37067559,Ведущий инженер,2864107,Системный администратор
216,37067559,Ведущий инженер,2864107,Инженер
217,37067559,Ведущий инженер,2864107,Системы видеонаблюдения
218,37067564,Инженер,2864107,Радиоэлектронная промышленность
219,37103331,Web backend/Ruby разработчик,46769,"Программирование, Разработка"
220,37103331,Web backend/Ruby разработчик,46769,Web инженер
221,37103331,Web backend/Ruby разработчик,46769,Стартапы
222,37125595,Специалист по переговорам (с контрагентами),41512,Другое
223,37125595,Специалист по переговорам (с контрагентами),41512,"PR, Маркетинговые коммуникации"
224,37125595,Специалист по переговорам (с контрагентами),41512,Другое
225,37132849,Специалист по работе с клиентами (В2В),48609,Продажа финансовых продуктов
226,37132849,Специалист по работе с клиентами (В2В),48609,Продажи
227,37226167,Специалист отдела телемаркетинга МегаФон,3127,Продажи
228,37226167,Специалист отдела телемаркетинга МегаФон,3127,Менеджер по работе с клиентами
229,37226167,Специалист отдела телемаркетинга МегаФон,3127,Продажи
230,37226167,Специалист отдела телемаркетинга МегаФон,3127,"Начальный уровень, Мало опыта"
231,37226167,Специалист отдела телемаркетинга МегаФон,3127,"Продажи по телефону, Телемаркетинг"
232,37334040,Специалист выездных продаж,3776,"Телекоммуникации, Сетевые решения"
233,37334040,Специалист выездных продаж,3776,Прямые продажи
234,37334040,Специалист выездных продаж,3776,Менеджер по работе с клиентами
235,37334040,Специалист выездных продаж,3776,"Начальный уровень, Мало опыта"
236,37334040,Специалист выездных продаж,3776,"Начальный уровень, Мало опыта"
237,37334040,Специалист выездных продаж,3776,Продажи
238,37339388,Специалист по работе с клиентами,3782259,"Телекоммуникации, Сетевые решения"
239,37339388,Специалист по работе с клиентами,3782259,Розничная торговля
240,37339388,Специалист по работе с клиентами,3782259,Прямые продажи
241,37339388,Специалист по работе с клиентами,3782259,Менеджер по работе с клиентами
242,37339388,Специалист по работе с клиентами,3782259,Торговые сети
243,37358665,Специалист отдела обслуживания клиентов на входящей линии (call-центр/ Московское шоссе),599,"Начальный уровень, Мало опыта"
244,37358665,Специалист отдела обслуживания клиентов на входящей линии (call-центр/ Московское шоссе),599,"Начальный уровень, Мало опыта"
245,37358665,Специалист отдела обслуживания клиентов на входящей линии (call-центр/ Московское шоссе),599,Сотрудник call-центра
246,37358665,Специалист отдела обслуживания клиентов на входящей линии (call-центр/ Московское шоссе),599,Консультирование
247,37358665,Специалист отдела обслуживания клиентов на входящей линии (call-центр/ Московское шоссе),599,"Финансы, Банки, Инвестиции"
248,37389782,Специалист call-центр на входящей линии,599,"Начальный уровень, Мало опыта"
249,37389782,Специалист call-центр на входящей линии,599,"Начальный уровень, Мало опыта"
250,37389782,Специалист call-центр на входящей линии,599,Сотрудник call-центра
251,37389782,Специалист call-центр на входящей линии,599,Консультирование
252,37389782,Специалист call-центр на входящей линии,599,"Финансы, Банки, Инвестиции"
253,37390518,Специалист по работе с клиентами,1813879,"Начальный уровень, Мало опыта"
254,37390518,Специалист по работе с клиентами,1813879,Сотрудник call-центра
255,37398812,Инженер-программист 1С,93090,"Программирование, Разработка"
256,37398812,Инженер-программист 1С,93090,Инженер
257,37398812,Инженер-программист 1С,93090,Другое
258,37488582,Middle Java Developer (Custom Solutions),246739,"Программирование, Разработка"
259,37493028,Инженер-конструктор 1 категории (механик),1975452,Машиностроение
260,37493028,Инженер-конструктор 1 категории (механик),1975452,Автомобильная промышленность
261,37493028,Инженер-конструктор 1 категории (механик),1975452,Инженер
262,37493028,Инженер-конструктор 1 категории (механик),1975452,Конструктор
263,37528319,Специалист технической поддержки - 2 линия,3588767,Информационные технологии
264,37528319,Специалист технической поддержки - 2 линия,3588767,"Поддержка, Helpdesk"
265,37528319,Специалист технической поддержки - 2 линия,3588767,Интернет
266,37551967,Специалист отдела железнодорожных перевозок,3558713,Железнодорожные перевозки
267,37586500,Ведущий специалист отдела по администрированию договоров и мониторингу поставок МТР,3517219,Складское хозяйство
268,37586500,Ведущий специалист отдела по администрированию договоров и мониторингу поставок МТР,3517219,Логистика
269,37586500,Ведущий специалист отдела по администрированию договоров и мониторингу поставок МТР,3517219,"Закупки, Снабжение"
270,37586500,Ведущий специалист отдела по администрированию договоров и мониторингу поставок МТР,3517219,Управление закупками
271,37631750,1С разработчик (middle / senior),1038532,"Программирование, Разработка"
272,37631750,1С разработчик (middle / senior),1038532,Оптимизация сайта (SEO)
273,37641868,"Инженер строительного контроля (сварка, общестроительные работы)",3521,Строительство
274,37641868,"Инженер строительного контроля (сварка, общестроительные работы)",3521,Инженер
275,37662359,Переводчик - копирайтер,3471533,Оптимизация сайта (SEO)
276,37662359,Переводчик - копирайтер,3471533,Маркетинг
277,37662359,Переводчик - копирайтер,3471533,"Продвижение, Специальные мероприятия"
278,37662359,Переводчик - копирайтер,3471533,Копирайтер
279,37662359,Переводчик - копирайтер,3471533,Интернет-маркетинг
280,37689481,Электрогазосварщик,47084,Разнорабочий
281,37689481,Электрогазосварщик,47084,Другое
282,37689481,Электрогазосварщик,47084,"Электромонтер, Кабельщик"
283,37689481,Электрогазосварщик,47084,Сварщик
284,37689481,Электрогазосварщик,47084,Строительство
285,37689481,Электрогазосварщик,47084,Рабочие строительных специальностей
286,37698398,Инженер-сметчик,3437792,Тендеры
287,37698398,Инженер-сметчик,3437792,Инженер
288,37698398,Инженер-сметчик,3437792,"Проектирование, Архитектура"
289,37789843,Аналитик данных (Data Analyst),3529,Аналитик
290,37789843,Аналитик данных (Data Analyst),3529,Администратор баз данных
291,37789843,Аналитик данных (Data Analyst),3529,Аналитик
292,37921885,Специалист по работе на станках с ЧПУ SAMAT 16Б16Т1,3487719,"Начальный уровень, Мало опыта"
293,37921885,Специалист по работе на станках с ЧПУ SAMAT 16Б16Т1,3487719,Преподавание
294,37941935,Специалист по аренде (коммерческая недвижимость),41512,Агент
295,37973731,Специалист технической поддержки (аптеки),4612153,Передача данных и доступ в интернет
296,37973731,Специалист технической поддержки (аптеки),4612153,"Начальный уровень, Мало опыта"
297,37973731,Специалист технической поддержки (аптеки),4612153,"Поддержка, Helpdesk"
298,37973731,Специалист технической поддержки (аптеки),4612153,Администратор баз данных
