,vacancy,spec_name_vac,id_empl,skill
196,35867999,Менеджер оптовых продаж (сегмент B2B),42918,Оптовая торговля
197,35867999,Менеджер оптовых продаж (сегмент B2B),42918,Менеджер по работе с клиентами
198,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,Разнорабочий
199,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,Другое
200,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,"Электромонтер, Кабельщик"
201,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,Сварщик
202,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,Строительство
203,35980548,"Электрогазосварщик ( с. Алексеевка, Алексеевский р-н )",47084,Рабочие строительных специальностей
204,35980612,Электрогазосварщик (Кротовка),47084,Разнорабочий
205,35980612,Электрогазосварщик (Кротовка),47084,Другое
206,35980612,Электрогазосварщик (Кротовка),47084,"Электромонтер, Кабельщик"
207,35980612,Электрогазосварщик (Кротовка),47084,Сварщик
208,35980612,Электрогазосварщик (Кротовка),47084,Строительство
209,35980612,Электрогазосварщик (Кротовка),47084,Рабочие строительных специальностей
210,36057819,Менеджер по работе с заказчиками (BIM/ПГС),41144,Продажи
211,36057819,Менеджер по работе с заказчиками (BIM/ПГС),41144,Системы автоматизированного проектирования
212,36057819,Менеджер по работе с заказчиками (BIM/ПГС),41144,Решения по автоматизации процессов
213,36057819,Менеджер по работе с заказчиками (BIM/ПГС),41144,Менеджер по работе с клиентами
214,36057819,Менеджер по работе с заказчиками (BIM/ПГС),41144,Инженер
215,36057819,Менеджер по работе с заказчиками (BIM/ПГС),41144,"Проектирование, Архитектура"
216,36093250,Электрогазосварщик (Пестравка),47084,Разнорабочий
217,36093250,Электрогазосварщик (Пестравка),47084,Другое
218,36093250,Электрогазосварщик (Пестравка),47084,"Электромонтер, Кабельщик"
219,36093250,Электрогазосварщик (Пестравка),47084,Сварщик
220,36093250,Электрогазосварщик (Пестравка),47084,Строительство
221,36093250,Электрогазосварщик (Пестравка),47084,Рабочие строительных специальностей
222,36194049,Главный специалист по надзору (Руководитель отдела охраны труда),151270,Электроэнергетика
223,36308601,Специалист поддержки внутренних клиентов,3529,"Начальный уровень, Мало опыта"
224,36308601,Специалист поддержки внутренних клиентов,3529,"Поддержка, Helpdesk"
225,36308601,Специалист поддержки внутренних клиентов,3529,"Начальный уровень, Мало опыта"
226,36308601,Специалист поддержки внутренних клиентов,3529,"Начальный уровень, Мало опыта"
227,36308601,Специалист поддержки внутренних клиентов,3529,Сотрудник call-центра
228,36308601,Специалист поддержки внутренних клиентов,3529,Консультирование
229,36444843,Инженер,47084,Машиностроение
230,36444843,Инженер,47084,Автомобильная промышленность
231,36444843,Инженер,47084,Инженер
232,36444843,Инженер,47084,Конструктор
233,36451294,Программист 1C,47084,"Программирование, Разработка"
234,36451294,Программист 1C,47084,Системная интеграция
235,36451294,Программист 1C,47084,Системы управления предприятием (ERP)
236,36451294,Программист 1C,47084,Инженер
237,36451294,Программист 1C,47084,CRM системы
238,36456326,Специалист по выкладке товара,880548,"Маркетинг, Реклама, PR"
239,36456326,Специалист по выкладке товара,880548,Продажи
240,36456326,Специалист по выкладке товара,880548,Консультирование
241,36456326,Специалист по выкладке товара,880548,Консультант
242,36456326,Специалист по выкладке товара,880548,Менеджмент продукта (Product manager)
243,36456326,Специалист по выкладке товара,880548,Мерчендайзинг
244,36495998,Senior Frontend Engineer,1084619,"Программирование, Разработка"
245,36495998,Senior Frontend Engineer,1084619,Инженер
246,36495998,Senior Frontend Engineer,1084619,Web инженер
247,36519942,Менеджер по работе с клиентами,3153540,Продажа
248,36519942,Менеджер по работе с клиентами,3153540,Продажи
249,36519942,Менеджер по работе с клиентами,3153540,Продажи
250,36519942,Менеджер по работе с клиентами,3153540,Продажи
251,36519942,Менеджер по работе с клиентами,3153540,Продажи
252,36519942,Менеджер по работе с клиентами,3153540,"Продажи по телефону, Телемаркетинг"
253,36545085,Lead Business Analyst,2915783,Информационные технологии
254,36545085,Lead Business Analyst,2915783,"Программирование, Разработка"
255,36545085,Lead Business Analyst,2915783,Управление проектами
256,36545085,Lead Business Analyst,2915783,Аналитик
257,36599197,Менеджер по продажам (без поиска),1532685,"Автомобили, Запчасти"
258,36599197,Менеджер по продажам (без поиска),1532685,Торговый представитель
259,36599197,Менеджер по продажам (без поиска),1532685,Менеджер по работе с клиентами
260,36599197,Менеджер по продажам (без поиска),1532685,"Продажи по телефону, Телемаркетинг"
261,36599197,Менеджер по продажам (без поиска),1532685,Агент
262,36599197,Менеджер по продажам (без поиска),1532685,"Гид, Экскурсовод"
263,36599207,Менеджер по продажам (без поиска),1532685,"Автомобили, Запчасти"
264,36599207,Менеджер по продажам (без поиска),1532685,Торговый представитель
265,36599207,Менеджер по продажам (без поиска),1532685,Менеджер по работе с клиентами
266,36599207,Менеджер по продажам (без поиска),1532685,"Продажи по телефону, Телемаркетинг"
267,36599207,Менеджер по продажам (без поиска),1532685,Агент
268,36599207,Менеджер по продажам (без поиска),1532685,"Гид, Экскурсовод"
269,36599442,Менеджер по продажам (без поиска),1532685,"Автомобили, Запчасти"
270,36599442,Менеджер по продажам (без поиска),1532685,Торговый представитель
271,36599442,Менеджер по продажам (без поиска),1532685,Менеджер по работе с клиентами
272,36599442,Менеджер по продажам (без поиска),1532685,"Продажи по телефону, Телемаркетинг"
273,36599442,Менеджер по продажам (без поиска),1532685,Агент
274,36599442,Менеджер по продажам (без поиска),1532685,"Гид, Экскурсовод"
275,36600197,Менеджер по работе с клиентами,1111946,Дилерские сети
276,36600197,Менеджер по работе с клиентами,1111946,Дистрибуция
277,36600197,Менеджер по работе с клиентами,1111946,Менеджер по работе с клиентами
278,36600197,Менеджер по работе с клиентами,1111946,Торговые сети
279,36600197,Менеджер по работе с клиентами,1111946,Управление закупками
280,36612761,Главный специалист поддержки прикладных систем,4181,Банковское ПО
281,36612761,Главный специалист поддержки прикладных систем,4181,Инженер
282,36612761,Главный специалист поддержки прикладных систем,4181,"Поддержка, Helpdesk"
283,36612761,Главный специалист поддержки прикладных систем,4181,Администратор баз данных
284,36612761,Главный специалист поддержки прикладных систем,4181,CRM системы
285,36636223,Менеджер по продажам услуг (микрорайон Крутые Ключи),3961061,Розничная торговля
286,36636223,Менеджер по продажам услуг (микрорайон Крутые Ключи),3961061,Дилерские сети
287,36636223,Менеджер по продажам услуг (микрорайон Крутые Ключи),3961061,Прямые продажи
288,36636223,Менеджер по продажам услуг (микрорайон Крутые Ключи),3961061,Менеджер по работе с клиентами
289,36636223,Менеджер по продажам услуг (микрорайон Крутые Ключи),3961061,"Продажи по телефону, Телемаркетинг"
290,36636223,Менеджер по продажам услуг (микрорайон Крутые Ключи),3961061,Продажи
291,36651524,Менеджер по продажам B2B,1740,Продажи
292,36651524,Менеджер по продажам B2B,1740,Сотрудник call-центра
293,36681272,Начинающий специалист,4934,Информационные технологии
294,36681272,Начинающий специалист,4934,Исследования рынка
295,36681272,Начинающий специалист,4934,Другое
296,36681272,Начинающий специалист,4934,Административный персонал
297,36681272,Начинающий специалист,4934,Продажи
298,36681272,Начинающий специалист,4934,Менеджер по работе с клиентами
299,36681398,Менеджер активных продаж,4934,"Телекоммуникации, Сетевые решения"
300,36681398,Менеджер активных продаж,4934,Прямые продажи
301,36681398,Менеджер активных продаж,4934,Менеджер по работе с клиентами
302,36681398,Менеджер активных продаж,4934,"Начальный уровень, Мало опыта"
303,36681398,Менеджер активных продаж,4934,Продажи
304,36742497,Менеджер по продажам B2B,1740,Продажи
305,36742497,Менеджер по продажам B2B,1740,Сотрудник call-центра
306,36760391,Системный администратор,65617,Системный администратор
307,36760391,Системный администратор,65617,"Поддержка, Helpdesk"
308,36760391,Системный администратор,65617,Администратор баз данных
309,36798214,Специалист шиномонтажа,97954,Сервисное обслуживание
310,36798214,Специалист шиномонтажа,97954,Другое
311,36798214,Специалист шиномонтажа,97954,Автоперевозки
312,36854259,Специалист по охране труда,121872,Строительство
313,36854259,Специалист по охране труда,121872,Железнодорожные перевозки
314,36882872,Специалист по обслуживанию технических средств охраны,1102602,Системы видеонаблюдения
315,36882872,Специалист по обслуживанию технических средств охраны,1102602,Пожарная безопасность
316,36882872,Специалист по обслуживанию технических средств охраны,1102602,Строительство
317,36949972,Аналитик 1С на внедрение крупных проектов,117502,Информационные технологии
318,36949972,Аналитик 1С на внедрение крупных проектов,117502,"Консалтинг, Аутсорсинг"
319,36949972,Аналитик 1С на внедрение крупных проектов,117502,"Поддержка, Helpdesk"
320,36949972,Аналитик 1С на внедрение крупных проектов,117502,Аналитик
321,37025160,Java-разработчик,668019,"Программирование, Разработка"
322,37025160,Java-разработчик,668019,Инженер
323,37033709,Business analyst (middle),2915783,Игровое ПО
324,37033709,Business analyst (middle),2915783,"Программирование, Разработка"
325,37033709,Business analyst (middle),2915783,Управление проектами
326,37033709,Business analyst (middle),2915783,Аналитик
327,37103331,Web backend/Ruby разработчик,46769,"Программирование, Разработка"
328,37103331,Web backend/Ruby разработчик,46769,Web инженер
329,37103331,Web backend/Ruby разработчик,46769,Стартапы
330,37125595,Специалист по переговорам (с контрагентами),41512,Другое
331,37125595,Специалист по переговорам (с контрагентами),41512,"PR, Маркетинговые коммуникации"
332,37125595,Специалист по переговорам (с контрагентами),41512,Другое
333,37226167,Специалист отдела телемаркетинга МегаФон,3127,Продажи
334,37226167,Специалист отдела телемаркетинга МегаФон,3127,Менеджер по работе с клиентами
335,37226167,Специалист отдела телемаркетинга МегаФон,3127,Продажи
336,37226167,Специалист отдела телемаркетинга МегаФон,3127,"Начальный уровень, Мало опыта"
337,37226167,Специалист отдела телемаркетинга МегаФон,3127,"Продажи по телефону, Телемаркетинг"
338,37334040,Специалист выездных продаж,3776,"Телекоммуникации, Сетевые решения"
339,37334040,Специалист выездных продаж,3776,Прямые продажи
340,37334040,Специалист выездных продаж,3776,Менеджер по работе с клиентами
341,37334040,Специалист выездных продаж,3776,"Начальный уровень, Мало опыта"
342,37334040,Специалист выездных продаж,3776,"Начальный уровень, Мало опыта"
343,37334040,Специалист выездных продаж,3776,Продажи
344,37337901,Менеджер удаленной поддержки клиентов ипотечного кредитования,3529,Привлечение клиентов
345,37337901,Менеджер удаленной поддержки клиентов ипотечного кредитования,3529,Кредиты
346,37337901,Менеджер удаленной поддержки клиентов ипотечного кредитования,3529,"Ипотека, Ипотечное кредитование"
347,37337901,Менеджер удаленной поддержки клиентов ипотечного кредитования,3529,Продажа финансовых продуктов
348,37337901,Менеджер удаленной поддержки клиентов ипотечного кредитования,3529,Коммерческий банк
349,37337901,Менеджер удаленной поддержки клиентов ипотечного кредитования,3529,Страхование недвижимости
350,37339388,Специалист по работе с клиентами,3782259,"Телекоммуникации, Сетевые решения"
351,37339388,Специалист по работе с клиентами,3782259,Розничная торговля
352,37339388,Специалист по работе с клиентами,3782259,Прямые продажи
353,37339388,Специалист по работе с клиентами,3782259,Менеджер по работе с клиентами
354,37339388,Специалист по работе с клиентами,3782259,Торговые сети
355,37358665,Специалист отдела обслуживания клиентов на входящей линии (call-центр/ Московское шоссе),599,"Начальный уровень, Мало опыта"
356,37358665,Специалист отдела обслуживания клиентов на входящей линии (call-центр/ Московское шоссе),599,"Начальный уровень, Мало опыта"
357,37358665,Специалист отдела обслуживания клиентов на входящей линии (call-центр/ Московское шоссе),599,Сотрудник call-центра
358,37358665,Специалист отдела обслуживания клиентов на входящей линии (call-центр/ Московское шоссе),599,Консультирование
359,37358665,Специалист отдела обслуживания клиентов на входящей линии (call-центр/ Московское шоссе),599,"Финансы, Банки, Инвестиции"
360,37389782,Специалист call-центр на входящей линии,599,"Начальный уровень, Мало опыта"
361,37389782,Специалист call-центр на входящей линии,599,"Начальный уровень, Мало опыта"
362,37389782,Специалист call-центр на входящей линии,599,Сотрудник call-центра
363,37389782,Специалист call-центр на входящей линии,599,Консультирование
364,37389782,Специалист call-центр на входящей линии,599,"Финансы, Банки, Инвестиции"
365,37390518,Специалист по работе с клиентами,1813879,"Начальный уровень, Мало опыта"
366,37390518,Специалист по работе с клиентами,1813879,Сотрудник call-центра
367,37398812,Инженер-программист 1С,93090,"Программирование, Разработка"
368,37398812,Инженер-программист 1С,93090,Инженер
369,37398812,Инженер-программист 1С,93090,Другое
370,37402442,Менеджер по продажам B2B,1740,Продажи
371,37402442,Менеджер по продажам B2B,1740,Сотрудник call-центра
372,37488582,Middle Java Developer (Custom Solutions),246739,"Программирование, Разработка"
373,37493028,Инженер-конструктор 1 категории (механик),1975452,Машиностроение
374,37493028,Инженер-конструктор 1 категории (механик),1975452,Автомобильная промышленность
375,37493028,Инженер-конструктор 1 категории (механик),1975452,Инженер
376,37493028,Инженер-конструктор 1 категории (механик),1975452,Конструктор
377,37528319,Специалист технической поддержки - 2 линия,3588767,Информационные технологии
