,id,name,name_vac
355,1740,Яндекс,Специалист
356,1942336,Перекресток,Специалист
357,1005830,Самара-Авто,Специалист
358,3288432,Autoline,Специалист
359,791203,ТОР ТЗПО,Специалист
360,599,"РОСБАНК, Societe Generale Group (Russia)",Специалист
361,1122462,Skyeng,Специалист
362,1122462,Skyeng,Специалист
363,1947314,ANCOR,Специалист
364,4925,Kelly Services,Специалист
365,3607,Федеральная Сетевая Компания,Специалист
366,4082616,ТОАЗ,Специалист
367,1541715,Поволжская Промышленная Компания,Специалист
368,41512,ФАРМПЕРСПЕКТИВА,Специалист
369,5120112,Rabotaika,Специалист
370,721946,Компания Деликатесофф,Специалист
371,1063814,КОРПОРАЦИЯ ТОЛЬЯТТИАЗОТ,Специалист
372,1740,Яндекс,Специалист
373,1740,Яндекс,Специалист
374,2789724,Эксплуатационная Поволжская Компания,Специалист
375,673,METRO Cash & Carry,Специалист
376,1947314,ANCOR,Специалист
377,3071811,ВЕНТЗАВОД,Специалист
378,3529,Сбербанк,Специалист
379,6041,"Северсталь, Москва",Специалист
380,6041,"Северсталь, Москва",Специалист
381,125462,ПКБ,Специалист
382,3071811,ВЕНТЗАВОД,Специалист
383,41512,ФАРМПЕРСПЕКТИВА,Специалист
384,1565804,Escalate,Специалист
385,3077756,РН-Учет,Специалист
386,4293512,Доставка Чистоты,Специалист
387,1063814,КОРПОРАЦИЯ ТОЛЬЯТТИАЗОТ,Специалист
388,3437792,ГЕММА,Специалист
389,3116154,СМАРТС,Специалист
390,64174,2ГИС,Специалист
391,1740,Яндекс,Специалист
392,1740,Яндекс,Специалист
393,1740,Яндекс,Специалист
394,41512,ФАРМПЕРСПЕКТИВА,Специалист
395,1688324,АНВ,Специалист
396,730158,Авиаагрегат,Специалист
397,3077756,РН-Учет,Специалист
398,4352,Почта России,Специалист
399,2496705,Росэнергострой,Специалист
400,727029,Pravo.Tech,Специалист
401,3127,МегаФон,Специалист
402,923507,Linde,Специалист
403,3529,Сбербанк,Специалист
404,3826723,МКУ ХТС,Специалист
405,1659845,Mriya Resort & SPA,Специалист
406,1496,Банк Хоум Кредит,Специалист
407,3469430,Стандарт Клининг Тольятти,Специалист
408,7944,Совкомбанк,Специалист
409,44272,ЭР-Телеком,Специалист
410,3222043,Сеть салонов МР,Специалист
411,2748,Ростелеком,Специалист
412,2180,Ozon,Специалист
413,1149,ЛОКО-БАНК,Специалист
414,4579,АУДИОТЕЛЕ,Специалист
415,4082616,ТОАЗ,Специалист
416,4986442,НПП РИЦ Самара,Специалист
417,1414818,PROFI CREDIT,Специалист
418,4908,IKEA,Специалист
419,80,Альфа-Банк,Специалист
420,2527164,Современная защита,Специалист
421,850123,Сеть магазинов женской одежды LIME,Специалист
422,44272,ЭР-Телеком,Специалист
423,4082616,ТОАЗ,Специалист
424,41512,ФАРМПЕРСПЕКТИВА,Специалист
425,919527,Норгау Руссланд,Специалист
426,4369697,ГРАН ЛИМИТЕД,Специалист
427,673,METRO Cash & Carry,Специалист
428,4348061,Янтарное,Специалист
429,3517219,РН-Снабжение - Самара,Специалист
430,4384579,1километр,Специалист
431,39616,Авиакор - авиационный завод,Специалист
432,4579,АУДИОТЕЛЕ,Специалист
433,4579,АУДИОТЕЛЕ,Специалист
434,4303042,Ален Транс,Специалист
435,5262617,OPEN MEDIA,Специалист
436,4579,АУДИОТЕЛЕ,Специалист
437,9187,Максидом,Специалист
438,4352,Почта России,Специалист
439,792880,Промышленная группа СТРОЙСИСТЕМА,Специалист
440,4082616,ТОАЗ,Специалист
441,11027,"Интегра, Группа компаний",Специалист
442,80,Альфа-Банк,Специалист
443,2064,Российские Коммунальные Системы,Специалист
444,1470921,Балтика Авто,Специалист
