,vacancy,spec_name_vac,id_empl,skill,date
14629,43550907,Помощник менеджера по работе с клиентами,2094188,Дилерские сети,19-04-2021
14630,43550907,Помощник менеджера по работе с клиентами,2094188,Дистрибуция,19-04-2021
14631,43550907,Помощник менеджера по работе с клиентами,2094188,Менеджер по работе с клиентами,19-04-2021
14632,43550907,Помощник менеджера по работе с клиентами,2094188,Торговые сети,19-04-2021
14633,43550907,Помощник менеджера по работе с клиентами,2094188,Менеджер по работе с клиентами,19-04-2021
14634,43550928,Специалист call-центра,4934,"Продажи по телефону, Телемаркетинг",19-04-2021
14635,43550990,Лаборант строительной лаборатории,4216585,Строительство,19-04-2021
14636,43550990,Лаборант строительной лаборатории,4216585,Инженер,19-04-2021
14637,43550990,Лаборант строительной лаборатории,4216585,Управление проектами,19-04-2021
14638,43551161,Специалист по работе с договорами и сопровождению отгрузок,3848532,Управляющий офисом (Оffice manager),19-04-2021
14639,43551161,Специалист по работе с договорами и сопровождению отгрузок,3848532,Тендеры,19-04-2021
14640,43551161,Специалист по работе с договорами и сопровождению отгрузок,3848532,Оптовая торговля,19-04-2021
14641,43551161,Специалист по работе с договорами и сопровождению отгрузок,3848532,Менеджер по работе с клиентами,19-04-2021
14642,43551161,Специалист по работе с договорами и сопровождению отгрузок,3848532,"Начальный уровень, Мало опыта",19-04-2021
14643,43551796,Менеджер по логистике,4046786,Морские/Речные перевозки,19-04-2021
14644,43551796,Менеджер по логистике,4046786,Автоперевозки,19-04-2021
14645,43551796,Менеджер по логистике,4046786,Диспетчер,19-04-2021
14646,43551796,Менеджер по логистике,4046786,ВЭД,19-04-2021
14647,43551796,Менеджер по логистике,4046786,Железнодорожные перевозки,19-04-2021
14648,43551796,Менеджер по логистике,4046786,Логистика,19-04-2021
14649,43552104,Менеджер-водитель,2476133,Автоперевозки,19-04-2021
14650,43552104,Менеджер-водитель,2476133,Водитель,19-04-2021
14651,43552104,Менеджер-водитель,2476133,Экспедитор,19-04-2021
14652,43552121,Менеджер активных продаж,50769,Товары для бизнеса,19-04-2021
14653,43552121,Менеджер активных продаж,50769,Прямые продажи,19-04-2021
14654,43552121,Менеджер активных продаж,50769,Оптовая торговля,19-04-2021
14655,43552121,Менеджер активных продаж,50769,"Текстиль, Одежда, Обувь",19-04-2021
14656,43552390,Системный администратор (Геленджик),1057071,Сетевые технологии,19-04-2021
14657,43552390,Системный администратор (Геленджик),1057071,Системный администратор,19-04-2021
14658,43552390,Системный администратор (Геленджик),1057071,Интернет,19-04-2021
14659,43552478,Преподаватель английского языка,2327377,Гуманитарные науки,19-04-2021
14660,43552478,Преподаватель английского языка,2327377,Языки,19-04-2021
14661,43552478,Преподаватель английского языка,2327377,Преподавание,19-04-2021
14662,43552728,Наладчик-оператор производственных линий,762443,Наладчик,19-04-2021
14663,43552728,Наладчик-оператор производственных линий,762443,Оператор станков,19-04-2021
14664,43553138,Персональный менеджер (кредитный специалист),47939,Автокредитование,19-04-2021
14665,43553138,Персональный менеджер (кредитный специалист),47939,"Ипотека, Ипотечное кредитование",19-04-2021
14666,43553138,Персональный менеджер (кредитный специалист),47939,Продажа финансовых продуктов,19-04-2021
14667,43553138,Персональный менеджер (кредитный специалист),47939,Пластиковые карты,19-04-2021
14668,43553138,Персональный менеджер (кредитный специалист),47939,Кредиты: розничные,19-04-2021
14669,43553139,Слесарь-электрик,3565227,Эксплуатация,19-04-2021
