,vacancy,skill,prof
702,39492985,Управление продажами,Менеджер
703,39492985,Активные продажи,Менеджер
704,39492985,Деловая переписка,Менеджер
705,39492985,Навыки продаж,Менеджер
706,39492985,Деловое общение,Менеджер
707,39492985,Управление проектами,Менеджер
708,39492985,Поиск и привлечение клиентов,Менеджер
709,39492985,Навыки презентации,Менеджер
710,39492985,Проведение презентаций,Менеджер
711,39492985,Планирование продаж,Менеджер
712,39492985,Привлечение новых дистрибьюторов,Менеджер
713,39492985,проектные продажи,Менеджер
714,39492985,электротехническое оборудование,Менеджер
715,39492985,запорная арматура,Менеджер
716,39492985,насосное оборудование,Менеджер
717,39509904,AutoCAD,Инженер
718,39509904,Строительство,Инженер
719,39509904,Проектная документация,Инженер
720,39509904,Строительное делопроизводство,Инженер
721,39509904,оформление документации,Инженер
722,39522565,.NET Framework,Программист
723,39522565,MSSQL,Программист
724,39522565,MySQL,Программист
725,39522565,C#,Программист
726,39522565,WEB API,Программист
727,39522565,ASP.NET,Программист
728,39522565,Гибкость,Программист
729,39522565,ООП,Программист
730,39545887,Статистический анализ,Менеджер
731,39545887,Деловое общение,Менеджер
732,39545887,1С: Документооборот,Менеджер
733,39545887,Работа в команде,Менеджер
734,39545887,Грамотная речь,Менеджер
735,39551481,Медицинская документация,Специалист
736,39612944,Entity Framework,Программист
737,39612944,LINQ,Программист
738,39612944,.NET Framework,Программист
739,39612944,C#,Программист
740,39612944,SQL,Программист
741,39617273,Прием и распределение телефонных звонков,Менеджер
742,39617273,Грамотная речь,Менеджер
